id,cliente_sexo,loja_cidade,produto_produto,produto_valor,cliente_idade,promoção,pg
74,M,Salvador,monitor,1500.0,59,1,1
75,M,Recife,mesa,860.0,48,1,1
76,M,Santa_Catarina,laptop_básico,2300.0,48,1,1
77,M,Curitiba,laptop_básico,2300.0,48,1,1
78,F,Santa_Catarina,mesa,860.0,53,1,1
79,M,Rio_de_Janeiro,teclado,30.0,23,0,1
80,F,Rio_de_Janeiro,cadeira,540.0,53,0,1
81,F,Vitória,laptop_básico,2300.0,39,1,1
82,M,Brasília,laptop_básico,2300.0,43,0,1
83,F,Palmas,laptop_gamer,5300.0,65,1,1
84,F,Rio_de_Janeiro,laptop_básico,2300.0,41,0,1
85,M,Rio_de_Janeiro,laptop_básico,2300.0,49,0,0
86,F,Rio_de_Janeiro,cadeira,540.0,40,1,1
87,F,Salvador,mesa,860.0,34,0,1
88,M,Belo_Horizonte,cadeira,540.0,41,0,1
89,M,Rio_de_Janeiro,laptop_básico,2300.0,50,0,1
90,F,Rio_de_Janeiro,carregador,150.0,46,0,0
91,F,Vitória,xxx_231a,321.1352,63,1,1
92,M,Rio_de_Janeiro,mesa,860.0,50,0,0
93,F,Rio_de_Janeiro,laptop_básico,2300.0,37,1,1
94,F,Rio_de_Janeiro,laptop_básico,2300.0,52,0,0
95,F,Recife,teclado,30.0,64,1,1
96,M,Rio_de_Janeiro,impressora,700.0,35,0,0
97,M,Belo_Horizonte,impressora,700.0,65,0,1
98,F,Rio_de_Janeiro,laptop_básico,2300.0,78,0,1
99,F,Santa_Catarina,teclado,30.0,35,1,1
100,M,Rio_de_Janeiro,impressora,700.0,82,1,0
101,F,São_Paulo,laptop_básico,2300.0,23,0,1
102,M,Brasília,laptop_básico,2300.0,23,0,0
103,M,Rio_de_Janeiro,xxx_231a,321.1352,75,0,0
104,F,Palmas,mesa,860.0,27,0,1
105,M,Recife,mesa,860.0,34,1,1
106,M,Rio_de_Janeiro,mouse,20.0,41,0,1
107,F,Rio_de_Janeiro,laptop_básico,2300.0,29,0,1
108,M,Brasília,laptop_básico,2300.0,74,1,1
109,F,Salvador,laptop_básico,2300.0,75,1,1
110,F,Rio_de_Janeiro,xxx_231a,321.1352,46,0,1
111,F,Brasília,laptop_gamer,5300.0,33,1,1
112,F,Rio_de_Janeiro,laptop_básico,2300.0,73,0,0
113,M,Rio_de_Janeiro,impressora,700.0,87,1,0
114,M,Rio_de_Janeiro,cadeira,540.0,74,0,1
115,M,Vitória,mesa,860.0,25,0,1
116,M,Salvador,laptop_básico,2300.0,40,0,1
117,F,Rio_de_Janeiro,laptop_básico,2300.0,25,0,0
118,F,São_Paulo,xxx_231a,321.1352,33,0,1
119,F,Rio_de_Janeiro,laptop_básico,2300.0,65,0,1
120,F,Rio_de_Janeiro,laptop_básico,2300.0,42,1,0
121,M,Rio_de_Janeiro,monitor,1500.0,60,1,1
122,M,Salvador,laptop_básico,2300.0,74,1,1
123,F,Recife,laptop_básico,2300.0,31,1,1
124,F,Rio_de_Janeiro,laptop_básico,2300.0,79,0,0
125,M,Rio_de_Janeiro,laptop_básico,2300.0,80,0,0
126,M,Salvador,laptop_básico,2300.0,82,0,1
127,F,Rio_de_Janeiro,laptop_básico,2300.0,25,0,0
128,F,Santa_Catarina,laptop_básico,2300.0,36,0,1
129,M,Recife,mesa,860.0,37,0,0
130,F,Rio_de_Janeiro,mouse,20.0,80,0,1
131,F,Rio_de_Janeiro,xxx_231a,321.1352,33,1,0
132,F,Brasília,laptop_básico,2300.0,25,1,1
133,M,Salvador,laptop_básico,2300.0,39,1,1
134,F,Palmas,carregador,150.0,43,0,1
135,M,Belo_Horizonte,laptop_básico,2300.0,44,0,1
136,F,Salvador,laptop_básico,2300.0,32,1,1
137,F,Brasília,laptop_básico,2300.0,40,0,1
138,F,Curitiba,laptop_básico,2300.0,88,0,1
139,F,Vitória,laptop_básico,2300.0,68,1,1
140,M,Salvador,teclado,30.0,25,0,1
141,F,Salvador,monitor,1500.0,85,0,1
142,F,Rio_de_Janeiro,laptop_básico,2300.0,58,1,0
143,M,Salvador,carregador,150.0,58,1,1
144,M,São_Paulo,mouse,20.0,82,0,1
145,F,Brasília,laptop_básico,2300.0,44,0,1
146,F,Salvador,carregador,150.0,62,0,1
147,M,Belo_Horizonte,laptop_básico,2300.0,75,0,1
148,M,Vitória,teclado,30.0,46,1,1
149,M,Rio_de_Janeiro,laptop_básico,2300.0,34,0,1
150,F,Rio_de_Janeiro,laptop_básico,2300.0,84,1,0
151,M,Vitória,laptop_básico,2300.0,78,0,1
152,F,Salvador,laptop_básico,2300.0,24,0,1
153,F,Rio_de_Janeiro,mesa,860.0,71,1,1
154,M,Belo_Horizonte,monitor,1500.0,28,1,1
155,M,Rio_de_Janeiro,laptop_básico,2300.0,56,0,0
156,M,Salvador,impressora,700.0,50,1,1
157,F,Belo_Horizonte,laptop_gamer,5300.0,21,0,1
158,M,Recife,mouse,20.0,81,0,1
159,F,Recife,laptop_básico,2300.0,33,0,1
160,F,Vitória,laptop_básico,2300.0,33,0,1
161,F,Rio_de_Janeiro,impressora,700.0,29,0,1
162,M,Vitória,laptop_básico,2300.0,65,1,0
163,F,Palmas,laptop_básico,2300.0,88,0,1
164,F,Santa_Catarina,monitor,1500.0,40,0,1
165,M,Palmas,laptop_gamer,5300.0,50,0,0
166,F,Santa_Catarina,laptop_básico,2300.0,82,0,1
167,M,Rio_de_Janeiro,impressora,700.0,65,0,1
168,M,Vitória,laptop_básico,2300.0,48,0,1
169,M,Recife,impressora,700.0,65,1,1
170,F,Recife,cadeira,540.0,39,0,1
171,F,Vitória,xxx_231a,321.1352,47,1,1
172,F,Curitiba,mouse,20.0,51,1,1
173,M,Rio_de_Janeiro,carregador,150.0,49,0,0
174,F,São_Paulo,laptop_básico,2300.0,25,0,1
175,M,Recife,laptop_básico,2300.0,63,0,0
176,F,Rio_de_Janeiro,mouse,20.0,71,0,0
177,F,São_Paulo,laptop_básico,2300.0,44,1,0
178,M,Recife,laptop_básico,2300.0,79,1,1
179,M,Brasília,laptop_básico,2300.0,72,1,1
180,F,Palmas,laptop_básico,2300.0,47,1,1
181,M,Curitiba,laptop_básico,2300.0,80,1,1
182,M,Rio_de_Janeiro,laptop_básico,2300.0,22,1,1
183,M,Rio_de_Janeiro,mouse,20.0,73,1,1
184,F,Curitiba,laptop_básico,2300.0,74,1,1
185,F,Rio_de_Janeiro,laptop_básico,2300.0,85,0,1
186,M,Rio_de_Janeiro,laptop_básico,2300.0,73,1,1
187,M,Curitiba,laptop_básico,2300.0,60,1,1
188,M,Recife,impressora,700.0,67,0,1
189,M,Salvador,laptop_básico,2300.0,62,1,1
190,M,Rio_de_Janeiro,laptop_básico,2300.0,60,0,1
191,F,Rio_de_Janeiro,impressora,700.0,66,0,0
192,F,Palmas,xxx_231a,321.1352,29,1,1
193,F,Santa_Catarina,carregador,150.0,77,0,1
194,M,Curitiba,cadeira,540.0,74,0,1
195,M,Salvador,xxx_231a,321.1352,22,1,1
196,M,Vitória,carregador,150.0,30,1,1
197,M,Palmas,xxx_231a,321.1352,64,1,1
198,F,Palmas,laptop_básico,2300.0,38,0,1
199,F,Palmas,carregador,150.0,41,1,1
200,M,Rio_de_Janeiro,teclado,30.0,29,0,1
201,F,Rio_de_Janeiro,laptop_básico,2300.0,86,0,0
202,M,Rio_de_Janeiro,monitor,1500.0,20,0,0
203,O,São_Paulo,carregador,150.0,50,0,0
204,F,Rio_de_Janeiro,laptop_básico,2300.0,63,0,0
205,F,Rio_de_Janeiro,teclado,30.0,40,1,1
206,F,Rio_de_Janeiro,impressora,700.0,63,1,0
207,M,São_Paulo,laptop_básico,2300.0,63,0,1
208,F,São_Paulo,laptop_gamer,5300.0,44,0,0
209,M,São_Paulo,laptop_básico,2300.0,50,1,1
210,M,Curitiba,laptop_básico,2300.0,32,1,1
211,F,Belo_Horizonte,mesa,860.0,51,1,1
212,M,Santa_Catarina,laptop_básico,2300.0,72,1,1
213,F,Rio_de_Janeiro,laptop_básico,2300.0,62,0,1
214,M,Rio_de_Janeiro,mesa,860.0,20,0,1
215,M,Palmas,laptop_gamer,5300.0,68,0,0
216,M,Rio_de_Janeiro,laptop_básico,2300.0,64,0,0
217,F,Rio_de_Janeiro,impressora,700.0,59,0,1
218,M,Rio_de_Janeiro,laptop_básico,2300.0,43,0,1
219,M,Vitória,monitor,1500.0,81,1,1
220,F,Curitiba,xxx_231a,321.1352,77,1,1
221,M,Rio_de_Janeiro,cadeira,540.0,25,0,0
222,F,Rio_de_Janeiro,laptop_gamer,5300.0,86,0,0
223,M,Rio_de_Janeiro,laptop_básico,2300.0,31,1,1
224,M,Santa_Catarina,impressora,700.0,53,1,1
225,F,Recife,laptop_gamer,5300.0,40,1,1
226,M,Belo_Horizonte,carregador,150.0,69,1,1
227,F,Recife,laptop_básico,2300.0,75,0,1
228,F,São_Paulo,impressora,700.0,34,1,1
229,F,Rio_de_Janeiro,laptop_básico,2300.0,26,0,0
230,F,Rio_de_Janeiro,laptop_básico,2300.0,26,1,1
231,M,Belo_Horizonte,cadeira,540.0,24,1,1
232,F,Rio_de_Janeiro,laptop_básico,2300.0,63,0,0
233,F,Rio_de_Janeiro,mesa,860.0,56,0,0
234,F,São_Paulo,laptop_básico,2300.0,44,0,1
235,F,Santa_Catarina,laptop_básico,2300.0,56,0,1
236,F,Brasília,mesa,860.0,58,0,1
237,M,Palmas,teclado,30.0,85,0,1
238,F,Santa_Catarina,xxx_231a,321.1352,71,0,0
239,M,Rio_de_Janeiro,laptop_básico,2300.0,24,0,0
240,M,Santa_Catarina,cadeira,540.0,20,1,1
241,M,Rio_de_Janeiro,xxx_231a,321.1352,78,0,0
242,M,Santa_Catarina,impressora,700.0,75,1,1
243,M,Rio_de_Janeiro,impressora,700.0,30,0,0
244,M,Rio_de_Janeiro,cadeira,540.0,71,0,0
245,F,Rio_de_Janeiro,carregador,150.0,78,1,1
246,F,Vitória,laptop_básico,2300.0,53,1,1
247,M,Salvador,laptop_básico,2300.0,88,0,1
248,M,Rio_de_Janeiro,teclado,30.0,20,0,1
249,F,São_Paulo,laptop_básico,2300.0,23,0,1
250,F,Rio_de_Janeiro,laptop_básico,2300.0,72,0,0
251,F,Rio_de_Janeiro,laptop_básico,2300.0,31,1,0
252,F,Rio_de_Janeiro,laptop_básico,2300.0,33,1,1
253,F,Santa_Catarina,laptop_básico,2300.0,65,0,1
254,F,Brasília,laptop_básico,2300.0,62,1,1
255,M,Rio_de_Janeiro,laptop_básico,2300.0,76,0,0
256,F,Vitória,carregador,150.0,21,0,0
257,M,Rio_de_Janeiro,laptop_básico,2300.0,82,0,0
258,M,Rio_de_Janeiro,laptop_básico,2300.0,62,0,1
259,F,São_Paulo,mouse,20.0,58,1,1
260,M,Brasília,laptop_básico,2300.0,61,1,1
261,M,Curitiba,laptop_básico,2300.0,30,0,1
262,M,Rio_de_Janeiro,laptop_básico,2300.0,65,1,1
263,M,Curitiba,xxx_231a,321.1352,68,0,1
264,M,Brasília,laptop_básico,2300.0,52,1,1
265,F,Brasília,laptop_básico,2300.0,54,1,1
266,F,Palmas,xxx_231a,321.1352,87,0,1
267,M,Santa_Catarina,xxx_231a,321.1352,31,0,1
268,F,Curitiba,monitor,1500.0,37,0,1
269,F,Belo_Horizonte,xxx_231a,321.1352,86,0,1
270,F,São_Paulo,laptop_gamer,5300.0,87,0,0
271,M,São_Paulo,carregador,150.0,46,0,0
272,M,Rio_de_Janeiro,laptop_gamer,5300.0,71,1,1
273,F,Palmas,teclado,30.0,23,1,1
274,F,Belo_Horizonte,laptop_básico,2300.0,33,1,1
275,M,Vitória,laptop_básico,2300.0,35,1,1
276,M,Brasília,laptop_gamer,5300.0,70,1,1
277,F,Vitória,mouse,20.0,85,0,0
278,F,Rio_de_Janeiro,laptop_básico,2300.0,22,0,0
279,F,Rio_de_Janeiro,teclado,30.0,20,0,1
280,F,Rio_de_Janeiro,teclado,30.0,79,0,1
281,M,Rio_de_Janeiro,mesa,860.0,62,1,1
282,F,Rio_de_Janeiro,mouse,20.0,29,0,0
283,M,Rio_de_Janeiro,laptop_básico,2300.0,75,1,0
284,M,Rio_de_Janeiro,mouse,20.0,55,0,0
285,M,Brasília,mesa,860.0,71,0,1
286,F,Rio_de_Janeiro,mesa,860.0,27,1,0
287,F,Rio_de_Janeiro,monitor,1500.0,33,0,0
288,M,Rio_de_Janeiro,laptop_básico,2300.0,38,1,0
289,M,Rio_de_Janeiro,mesa,860.0,64,0,0
290,F,Rio_de_Janeiro,laptop_básico,2300.0,27,1,0
291,F,Curitiba,laptop_básico,2300.0,34,0,0
292,F,São_Paulo,impressora,700.0,45,1,1
293,F,Rio_de_Janeiro,laptop_básico,2300.0,65,0,1
294,M,Recife,laptop_básico,2300.0,70,0,1
295,M,São_Paulo,laptop_básico,2300.0,28,0,1
296,F,Rio_de_Janeiro,mouse,20.0,27,1,0
297,M,São_Paulo,laptop_básico,2300.0,33,0,1
298,F,Rio_de_Janeiro,laptop_básico,2300.0,37,1,1
299,M,Rio_de_Janeiro,laptop_básico,2300.0,85,0,0
300,M,Rio_de_Janeiro,laptop_básico,2300.0,50,0,0
301,F,Santa_Catarina,laptop_básico,2300.0,35,0,0
302,M,Rio_de_Janeiro,laptop_básico,2300.0,57,0,0
303,F,Rio_de_Janeiro,xxx_231a,321.1352,34,0,1
304,F,Recife,laptop_básico,2300.0,53,1,1
305,F,Rio_de_Janeiro,laptop_básico,2300.0,34,0,0
306,M,Brasília,laptop_básico,2300.0,71,1,1
307,F,Brasília,cadeira,540.0,79,1,1
308,M,Rio_de_Janeiro,laptop_gamer,5300.0,71,0,1
309,F,Curitiba,mesa,860.0,41,1,1
310,M,Vitória,laptop_básico,2300.0,35,1,1
311,F,Rio_de_Janeiro,laptop_básico,2300.0,63,0,1
312,F,Salvador,impressora,700.0,33,0,1
313,F,Rio_de_Janeiro,laptop_básico,2300.0,74,0,0
314,M,Rio_de_Janeiro,laptop_básico,2300.0,75,0,1
315,M,Vitória,laptop_básico,2300.0,52,1,1
316,M,Recife,laptop_básico,2300.0,48,1,1
317,M,Rio_de_Janeiro,laptop_gamer,5300.0,62,1,1
318,M,Rio_de_Janeiro,laptop_básico,2300.0,33,1,1
319,F,Curitiba,laptop_básico,2300.0,43,1,1
320,M,Belo_Horizonte,laptop_básico,2300.0,73,1,1
321,M,Rio_de_Janeiro,laptop_básico,2300.0,74,0,0
322,M,Brasília,impressora,700.0,62,0,1
323,F,Rio_de_Janeiro,laptop_básico,2300.0,47,0,0
324,F,Rio_de_Janeiro,mouse,20.0,42,0,1
325,F,Rio_de_Janeiro,laptop_básico,2300.0,43,1,1
326,M,Salvador,laptop_básico,2300.0,27,1,1
327,M,Rio_de_Janeiro,laptop_gamer,5300.0,31,1,1
328,M,Curitiba,laptop_básico,2300.0,49,0,0
329,F,Brasília,impressora,700.0,25,1,1
330,M,Rio_de_Janeiro,xxx_231a,321.1352,62,0,0
331,M,São_Paulo,laptop_básico,2300.0,51,1,1
332,M,Santa_Catarina,cadeira,540.0,82,1,1
333,M,Brasília,laptop_básico,2300.0,79,1,1
334,M,Salvador,laptop_básico,2300.0,48,0,1
335,F,Salvador,xxx_231a,321.1352,46,0,1
336,M,Rio_de_Janeiro,laptop_básico,2300.0,25,0,0
337,M,Brasília,laptop_básico,2300.0,81,1,1
338,M,Belo_Horizonte,laptop_básico,2300.0,75,0,1
339,F,Rio_de_Janeiro,impressora,700.0,42,1,1
340,M,Rio_de_Janeiro,carregador,150.0,34,1,0
341,F,Belo_Horizonte,laptop_básico,2300.0,82,0,1
342,M,Palmas,mesa,860.0,37,0,1
343,M,Rio_de_Janeiro,laptop_gamer,5300.0,57,1,1
344,F,São_Paulo,laptop_básico,2300.0,33,1,1
345,F,Rio_de_Janeiro,laptop_básico,2300.0,34,1,0
346,M,Salvador,laptop_básico,2300.0,49,0,1
347,M,São_Paulo,laptop_básico,2300.0,34,0,1
348,M,São_Paulo,teclado,30.0,41,0,1
349,M,Salvador,laptop_básico,2300.0,80,0,1
350,M,Rio_de_Janeiro,laptop_básico,2300.0,56,1,0
351,F,Belo_Horizonte,laptop_gamer,5300.0,64,1,1
352,F,Belo_Horizonte,laptop_básico,2300.0,33,0,0
353,M,Rio_de_Janeiro,laptop_gamer,5300.0,81,0,0
354,M,Vitória,laptop_básico,2300.0,58,0,1
355,F,Curitiba,impressora,700.0,85,1,1
356,F,Brasília,laptop_básico,2300.0,23,0,1
357,F,Rio_de_Janeiro,laptop_básico,2300.0,46,1,0
358,F,Santa_Catarina,monitor,1500.0,68,1,1
359,F,Vitória,mouse,20.0,49,0,1
360,F,Brasília,laptop_básico,2300.0,42,0,1
361,M,Rio_de_Janeiro,mesa,860.0,74,0,0
362,F,Salvador,laptop_básico,2300.0,21,0,1
363,M,Santa_Catarina,laptop_básico,2300.0,72,1,1
364,F,Vitória,laptop_básico,2300.0,62,1,1
365,F,Rio_de_Janeiro,laptop_básico,2300.0,76,0,0
366,F,São_Paulo,monitor,1500.0,83,0,1
367,M,Rio_de_Janeiro,laptop_básico,2300.0,68,1,1
368,F,Curitiba,xxx_231a,321.1352,42,0,1
369,M,Recife,laptop_gamer,5300.0,37,0,1
370,M,Rio_de_Janeiro,mouse,20.0,34,0,0
371,F,Rio_de_Janeiro,laptop_básico,2300.0,65,0,0
372,F,Rio_de_Janeiro,xxx_231a,321.1352,59,0,0
373,M,Belo_Horizonte,monitor,1500.0,74,1,1
374,M,Rio_de_Janeiro,laptop_básico,2300.0,82,0,1
375,F,Rio_de_Janeiro,laptop_básico,2300.0,22,0,0
376,M,Rio_de_Janeiro,cadeira,540.0,80,1,1
377,M,Recife,laptop_básico,2300.0,24,0,1
378,F,Belo_Horizonte,laptop_básico,2300.0,75,0,0
379,M,Salvador,carregador,150.0,33,1,1
380,M,Palmas,monitor,1500.0,83,1,1
381,F,Rio_de_Janeiro,laptop_básico,2300.0,35,1,1
382,M,Rio_de_Janeiro,laptop_básico,2300.0,75,1,1
383,M,Rio_de_Janeiro,laptop_básico,2300.0,20,1,1
384,F,Belo_Horizonte,laptop_básico,2300.0,69,1,1
385,F,Salvador,mesa,860.0,65,1,1
386,F,Belo_Horizonte,laptop_básico,2300.0,70,1,1
387,F,São_Paulo,laptop_básico,2300.0,82,0,1
388,M,Belo_Horizonte,laptop_gamer,5300.0,50,0,1
389,M,Salvador,laptop_gamer,5300.0,88,0,1
390,M,Salvador,laptop_básico,2300.0,68,0,1
391,F,Rio_de_Janeiro,cadeira,540.0,76,0,1
392,M,Rio_de_Janeiro,laptop_básico,2300.0,67,0,0
393,M,São_Paulo,laptop_básico,2300.0,73,0,1
394,F,Rio_de_Janeiro,laptop_básico,2300.0,76,0,0
395,M,Salvador,laptop_básico,2300.0,49,0,1
396,M,Recife,cadeira,540.0,88,1,1
397,F,Rio_de_Janeiro,mouse,20.0,87,0,0
398,M,Belo_Horizonte,laptop_básico,2300.0,53,0,1
399,F,Rio_de_Janeiro,laptop_básico,2300.0,60,0,0
400,M,Rio_de_Janeiro,teclado,30.0,87,0,1
401,F,Brasília,teclado,30.0,37,1,1
402,F,Curitiba,impressora,700.0,75,0,0
403,F,Rio_de_Janeiro,laptop_básico,2300.0,34,1,0
404,M,Curitiba,laptop_básico,2300.0,28,1,1
405,F,Santa_Catarina,carregador,150.0,35,0,1
406,M,Santa_Catarina,laptop_básico,2300.0,78,1,1
407,M,Rio_de_Janeiro,laptop_básico,2300.0,23,0,0
408,M,Brasília,laptop_básico,2300.0,87,1,1
409,F,Rio_de_Janeiro,mouse,20.0,45,0,0
410,M,Palmas,laptop_básico,2300.0,79,0,1
411,M,Rio_de_Janeiro,mesa,860.0,65,1,0
412,M,Rio_de_Janeiro,laptop_básico,2300.0,35,0,0
413,M,Rio_de_Janeiro,laptop_básico,2300.0,71,0,0
414,F,Vitória,laptop_básico,2300.0,63,1,0
415,F,Salvador,laptop_gamer,5300.0,23,1,0
416,M,Rio_de_Janeiro,laptop_básico,2300.0,22,0,0
417,M,Brasília,laptop_básico,2300.0,31,0,1
418,F,Santa_Catarina,teclado,30.0,34,0,1
419,F,Salvador,mesa,860.0,42,1,1
420,F,Rio_de_Janeiro,teclado,30.0,73,0,0
421,M,Santa_Catarina,carregador,150.0,63,1,1
422,M,Rio_de_Janeiro,laptop_básico,2300.0,88,0,1
423,F,Santa_Catarina,laptop_básico,2300.0,39,1,1
424,M,São_Paulo,laptop_básico,2300.0,83,0,1
425,M,Salvador,laptop_básico,2300.0,51,1,1
426,M,Salvador,laptop_básico,2300.0,32,1,1
427,M,Rio_de_Janeiro,laptop_básico,2300.0,21,1,0
428,M,Curitiba,teclado,30.0,73,0,1
429,M,Belo_Horizonte,impressora,700.0,84,1,1
430,F,Rio_de_Janeiro,cadeira,540.0,49,1,1
431,F,Rio_de_Janeiro,laptop_básico,2300.0,25,0,0
432,F,Rio_de_Janeiro,laptop_básico,2300.0,51,1,0
433,M,Brasília,laptop_básico,2300.0,41,0,0
434,M,Rio_de_Janeiro,impressora,700.0,71,0,0
435,F,Palmas,monitor,1500.0,39,1,1
436,M,Curitiba,laptop_básico,2300.0,61,0,0
437,M,Vitória,laptop_básico,2300.0,52,0,0
438,F,Curitiba,laptop_básico,2300.0,86,1,1
439,M,São_Paulo,laptop_básico,2300.0,41,0,1
440,M,Salvador,teclado,30.0,60,0,1
441,F,São_Paulo,mouse,20.0,58,1,1
442,F,Rio_de_Janeiro,laptop_básico,2300.0,84,0,0
443,M,Rio_de_Janeiro,impressora,700.0,24,1,1
444,M,Curitiba,laptop_básico,2300.0,80,0,1
445,M,Curitiba,laptop_básico,2300.0,26,1,1
446,F,Rio_de_Janeiro,monitor,1500.0,64,0,1
447,M,Rio_de_Janeiro,impressora,700.0,38,0,0
448,M,São_Paulo,cadeira,540.0,65,0,1
449,F,Palmas,laptop_básico,2300.0,63,1,1
450,M,Brasília,laptop_básico,2300.0,22,1,1
451,F,Curitiba,laptop_básico,2300.0,21,1,1
452,F,Salvador,monitor,1500.0,85,1,1
453,M,São_Paulo,laptop_básico,2300.0,30,0,1
454,M,Rio_de_Janeiro,mouse,20.0,58,1,0
455,F,Rio_de_Janeiro,carregador,150.0,23,1,1
456,M,Rio_de_Janeiro,laptop_básico,2300.0,46,1,1
457,F,Rio_de_Janeiro,mesa,860.0,27,0,0
458,F,Rio_de_Janeiro,mouse,20.0,35,0,0
459,F,Santa_Catarina,laptop_básico,2300.0,28,0,1
460,F,Rio_de_Janeiro,laptop_básico,2300.0,25,0,0
461,F,Rio_de_Janeiro,laptop_básico,2300.0,51,0,1
462,M,Brasília,mesa,860.0,48,1,1
463,M,Salvador,laptop_básico,2300.0,36,1,1
464,M,Rio_de_Janeiro,impressora,700.0,70,0,0
465,M,Santa_Catarina,teclado,30.0,87,1,1
466,F,Rio_de_Janeiro,laptop_básico,2300.0,59,0,1
467,F,Rio_de_Janeiro,cadeira,540.0,51,0,0
468,F,Rio_de_Janeiro,monitor,1500.0,26,1,0
469,M,Rio_de_Janeiro,laptop_básico,2300.0,85,0,0
470,M,Vitória,carregador,150.0,33,0,1
471,M,Rio_de_Janeiro,laptop_básico,2300.0,42,1,1
472,M,Recife,xxx_231a,321.1352,75,0,1
473,M,Belo_Horizonte,teclado,30.0,59,0,1
474,F,Recife,cadeira,540.0,68,1,1
475,F,Vitória,carregador,150.0,63,0,1
476,M,Santa_Catarina,monitor,1500.0,53,1,1
477,M,São_Paulo,impressora,700.0,87,1,1
478,F,Curitiba,laptop_básico,2300.0,87,0,1
479,M,Salvador,carregador,150.0,35,1,1
480,M,Recife,laptop_básico,2300.0,65,0,0
481,F,Vitória,teclado,30.0,82,0,1
